,model_name,model_year,kms_driven,mileage,power,price,company,engine
0,Royal Enfield,2016,50000.0,35.0,19.8,115000.0,Royal,350.0
1,KTM Duke,2012,24561.0,35.0,25.0,63400.0,KTM,200.0
2,Bajaj Pulsar,2016,19718.0,65.0,17.0,55000.0,Bajaj,180.0
3,KTM Duke,2018,1350.0,25.0,42.9,198000.0,KTM,390.0
4,Royal Enfield,2018,25000.0,35.0,19.8,136900.0,Royal,350.0
5,Royal Enfield,2016,26240.0,32.0,24.5,112000.0,Royal,410.0
6,Royal Enfield,2017,18866.0,40.0,19.8,110000.0,Royal,350.0
7,Royal Enfield,2019,12634.0,35.0,19.8,160000.0,Royal,350.0
8,Royal Enfield,2016,13000.0,37.0,19.8,111000.0,Royal,350.0
9,Royal Enfield,2019,28000.0,40.0,19.8,131500.0,Royal,350.0
10,Royal Enfield,2018,23350.0,37.0,19.0,115000.0,Royal,350.0
11,Royal Enfield,2018,23522.0,37.0,19.8,190000.0,Royal,350.0
12,Royal Enfield,2015,25000.0,40.0,19.8,67000.0,Royal,350.0
13,Yamaha SZ-RR,2012,12000.0,55.0,12.0,28000.0,Yamaha,150.0
14,Yamaha FZs,2015,10168.0,45.0,13.0,44000.0,Yamaha,150.0
15,Royal Enfield,2018,7000.0,35.0,19.8,141500.0,Royal,350.0
16,Royal Enfield,2016,12000.0,35.0,19.8,110000.0,Royal,350.0
17,Hero Glamour,2019,50000.0,55.0,8.9,63000.0,Hero,125.0
18,Hero Super,2019,40000.0,75.0,9.0,60000.0,Hero,125.0
19,Royal Enfield,2015,20805.0,35.0,19.8,95000.0,Royal,350.0
20,Royal Enfield,2011,50000.0,35.0,19.8,70000.0,Royal,350.0
21,Bajaj Pulsar,2015,55000.0,38.0,21.0,45000.0,Bajaj,220.0
22,Bajaj Pulsar,2018,30000.0,65.0,17.0,62000.0,Bajaj,180.0
23,Royal Enfield,2018,1650.0,37.0,19.8,140000.0,Royal,350.0
24,Hero Ignitor,2014,45000.0,55.0,11.0,30000.0,Hero,125.0
25,Hero Karizma,2009,33000.0,40.0,17.0,18000.0,Hero,223.0
26,KTM RC,2021,5700.0,35.0,24.6,207500.0,KTM,200.0
27,Royal Enfield,2019,15000.0,32.0,24.5,181562.0,Royal,410.0
28,Royal Enfield,2013,21000.0,25.0,27.2,110000.0,Royal,500.0
29,Royal Enfield,2020,9000.0,35.0,19.1,207500.0,Royal,350.0
30,Suzuki Gixxer,2015,35000.0,63.0,14.0,54468.0,Suzuki,150.0
31,Bajaj Pulsar,2017,20864.0,38.0,21.0,55000.0,Bajaj,220.0
32,Hero Passion,2019,44228.0,55.0,8.0,57000.0,Hero,110.0
33,Royal Enfield,2019,7714.0,40.0,19.8,135000.0,Royal,350.0
34,Yamaha FZs,2012,60000.0,45.0,13.0,32000.0,Yamaha,150.0
35,Hero Passion,2018,30000.0,5.0,8.2,42000.0,Hero,100.0
36,Bajaj Pulsar,2010,38000.0,38.0,21.0,30000.0,Bajaj,220.0
37,Hero Passion,2011,67000.0,5.0,8.2,26000.0,Hero,100.0
38,Hero Passion,2011,56194.0,5.0,8.2,20000.0,Hero,100.0
39,Yamaha FZs,2014,27000.0,45.0,13.0,48500.0,Yamaha,150.0
40,Yamaha SZ,2013,37788.0,50.0,11.9,43000.0,Yamaha,150.0
41,Royal Enfield,2014,23000.0,35.0,19.8,114500.0,Royal,350.0
42,KTM RC,2016,28000.0,35.0,25.1,90000.0,KTM,200.0
43,Royal Enfield,2016,39500.0,35.0,19.8,95000.0,Royal,350.0
44,Royal Enfield,2015,1600.0,26.0,29.1,165000.0,Royal,535.0
45,Yamaha YZF-R15,2008,42821.0,42.0,16.0,42000.0,Yamaha,150.0
46,Royal Enfield,2012,15990.0,40.0,19.8,70000.0,Royal,350.0
47,Yamaha YZF-R15,2017,29500.0,42.0,16.7,87500.0,Yamaha,150.0
48,Hero Ignitor,2013,52000.0,55.0,11.0,30000.0,Hero,125.0
49,Hero HF,2018,7259.0,65.0,8.1,22500.0,Hero,100.0
50,Yamaha YZF-R15,2016,45000.0,42.0,16.7,92000.0,Yamaha,150.0
51,Bajaj CT,2018,38000.0,89.0,8.1,45000.0,Bajaj,100.0
52,Royal Enfield,2019,16000.0,35.0,19.8,176375.0,Royal,350.0
53,Yamaha FZs,2014,39000.0,45.0,13.0,49800.0,Yamaha,150.0
54,Bajaj Pulsar,2003,126.0,65.0,15.0,24501.0,Bajaj,150.0
55,Bajaj CT,2016,15745.0,89.0,8.1,20180.0,Bajaj,100.0
56,Suzuki Gixxer,2016,26300.0,63.0,14.0,50000.0,Suzuki,150.0
57,Hero Karizma,2010,65000.0,40.0,17.0,40000.0,Hero,223.0
58,KTM RC,2017,20000.0,35.0,25.1,155000.0,KTM,200.0
59,Royal Enfield,2017,40000.0,25.0,27.2,150500.0,Royal,500.0
60,Hero Splendor,2021,956.0,55.0,7.91,73000.0,Hero,100.0
61,Yamaha FZ25,2018,17000.0,43.0,20.3,98500.0,Yamaha,250.0
62,Yamaha FZs,2013,22605.0,45.0,13.0,35000.0,Yamaha,150.0
63,Hero Passion,2013,23000.0,5.0,8.2,34000.0,Hero,100.0
64,Royal Enfield,2015,5800.0,37.0,19.8,110000.0,Royal,350.0
65,Royal Enfield,2015,25000.0,32.0,27.2,125000.0,Royal,500.0
66,Hero Passion,2016,25000.0,5.0,8.2,18750.0,Hero,100.0
67,Yamaha YZF-R15,2015,15671.0,42.0,16.7,65000.0,Yamaha,150.0
68,Royal Enfield,2021,1300.0,35.0,19.1,207500.0,Royal,350.0
69,Royal Enfield,2018,22000.0,32.0,24.5,175000.0,Royal,410.0
70,TVS Sport,2014,15000.0,95.0,7.4,36000.0,TVS,100.0
71,Hero Passion,2014,17700.0,5.0,8.2,38000.0,Hero,100.0
72,Bajaj Pulsar,2016,21000.0,38.0,21.0,58200.0,Bajaj,220.0
73,KTM RC,2020,930.0,26.0,42.3,290000.0,KTM,390.0
74,Royal Enfield,2019,12000.0,35.0,19.8,170000.0,Royal,350.0
75,Royal Enfield,2015,14300.0,35.0,19.8,100000.0,Royal,350.0
76,Royal Enfield,2016,28000.0,40.0,19.8,82050.0,Royal,350.0
77,Hero Karizma,2016,25000.0,48.0,20.0,46992.0,Hero,223.0
78,Royal Enfield,2016,2500.0,35.0,19.8,117000.0,Royal,350.0
79,Royal Enfield,2017,16781.0,25.0,19.8,112500.0,Royal,350.0
80,Yamaha FZS,2018,18000.0,52.0,12.9,74700.0,Yamaha,150.0
81,Royal Enfield,2019,7000.0,35.0,19.8,170000.0,Royal,350.0
82,Royal Enfield,2015,4600.0,26.0,29.1,135000.0,Royal,535.0
83,KTM Duke,2014,28912.0,35.0,25.0,93999.0,KTM,200.0
84,Bajaj Avenger,2016,50000.0,40.0,19.0,51000.0,Bajaj,220.0
85,KTM RC,2016,3400.0,26.0,42.3,150000.0,KTM,390.0
86,Bajaj CT,2020,6500.0,89.0,8.1,55000.0,Bajaj,100.0
87,Bajaj V12,2017,36500.0,57.0,12.0,55000.0,Bajaj,125.0
88,KTM RC,2020,3500.0,35.0,25.1,215000.0,KTM,200.0
89,Royal Enfield,2018,4900.0,35.0,19.8,165000.0,Royal,350.0
90,Royal Enfield,2019,14500.0,35.0,19.8,157000.0,Royal,350.0
91,Royal Enfield,2020,6000.0,35.0,19.1,210000.0,Royal,350.0
92,Royal Enfield,2009,14000.0,30.0,19.8,125000.0,Royal,350.0
93,Royal Enfield,2012,49000.0,40.0,19.8,73000.0,Royal,350.0
94,Royal Enfield,2020,13000.0,35.0,19.1,209000.0,Royal,350.0
95,Royal Enfield,2019,8000.0,35.0,27.2,205000.0,Royal,500.0
96,Royal Enfield,2018,7000.0,35.0,19.8,170000.0,Royal,350.0
97,Yamaha YZF-R15,2016,18000.0,42.0,16.0,65000.0,Yamaha,150.0
98,Royal Enfield,2018,4000.0,40.0,19.8,150000.0,Royal,350.0
99,Royal Enfield,2019,12000.0,35.0,19.8,162000.0,Royal,350.0
100,Royal Enfield,2020,3000.0,32.0,24.3,210000.0,Royal,410.0
101,Mahindra Centuro,2014,38000.0,60.0,8.5,33000.0,Mahindra,110.0
102,Royal Enfield,2020,5659.0,35.0,19.1,185000.0,Royal,350.0
103,Suzuki Gixxer,2015,39000.0,63.0,14.0,46500.0,Suzuki,150.0
104,Bajaj Avenger,2011,39000.0,40.0,19.0,27899.0,Bajaj,220.0
105,Suzuki Gixxer,2019,13700.0,40.0,14.6,110000.0,Suzuki,150.0
106,Royal Enfield,2011,38998.0,40.0,19.8,95000.0,Royal,350.0
107,Hero Splendor,2017,18649.0,81.0,8.2,49500.0,Hero,100.0
108,Bajaj CT,2015,15648.0,89.0,8.1,32500.0,Bajaj,100.0
109,Hero Glamour,2014,42000.0,55.0,8.9,38000.0,Hero,125.0
110,Royal Enfield,2013,29000.0,32.0,27.2,130000.0,Royal,500.0
111,Hero Splendor,2014,52000.0,81.0,8.2,39000.0,Hero,100.0
112,Hero Glamour,2014,46000.0,55.0,8.9,39000.0,Hero,125.0
113,Royal Enfield,2013,38000.0,37.0,19.8,120000.0,Royal,350.0
114,KTM Duke,2016,31000.0,25.0,42.9,135000.0,KTM,390.0
115,Bajaj V15,2016,25300.0,57.0,11.8,45000.0,Bajaj,150.0
116,Royal Enfield,2017,16805.0,35.0,19.8,132000.0,Royal,350.0
117,Royal Enfield,2016,19837.0,35.0,19.8,110000.0,Royal,350.0
118,Royal Enfield,2018,13562.0,35.0,19.8,125000.0,Royal,350.0
119,Royal Enfield,2019,6500.0,35.0,19.8,190000.0,Royal,350.0
